Time_s,ED_x_m,LV_x_m,LV_length_m,LV_width_m,visual_angle_W,visual_angle_H,tau,ED_speed_mps,LV_speed_mps,LV_frspacing_m,ED_gas_pedal_pos,ED_brake_pedal_force_kg,tau_inv
37,4056.16,3991.31,5.39,2.29,0.010174612342826676,0.007020038210334563,7.262665375927718,30.99,0,225.07,0.4352755844593048,0.32121075689792633,0.1376904962900431
38,4047.42,3991.31,5.39,2.29,0.011796219028486066,0.008138876010920518,6.272374798061389,30.95,0,194.13,0.4771653413772583,0.3323677808046341,0.15942924844176584
39,4038.67,3991.31,5.39,2.29,0.014031003002267017,0.009680779364009557,5.2904376012965955,30.85,0,163.21,0.19496062397956848,0.3323677808046341,0.18902028062006007
40,4030.05,3991.31,5.39,2.29,0.017256970610399398,0.011906556141672948,4.401326699834162,30.15,0,132.7,0,0.3323677808046341,0.2272042200452148
41,4021.73,3991.31,5.39,2.29,0.022239487229290086,0.015344275031562592,3.525162615542623,29.21,0,102.97,0,4.807846355438232,0.2836748567543944
42,4013.88,3991.31,5.39,2.29,0.030533333333333332,0.021066666666666668,2.8323262839879155,26.48,0,75,0,10.660178375244142,0.35306666666666664
43,4007.13,3991.31,5.39,2.29,0.0448843590748726,0.030968247745981968,2.4576107899807322,20.76,0,51.02,0,33.862012481689455,0.4068992551940415
44,4002.5,3991.31,5.39,2.29,0.0663960568280661,0.04581037982023775,2.7792103142626914,12.41,0,34.49,0,25.661892700195313,0.3598144389678168
45,3999.97,3991.31,5.39,2.29,0.08973354231974921,0.06191222570532916,4.102893890675241,6.22,0,25.52,0,11.187636280059815,0.24373040752351097
46,3998.79,3991.31,5.39,2.29,0.10731021555763824,0.07403936269915652,9.612612612612612,2.22,0,21.34,0,10.896866798400879,0.10402999062792878
47,3998.6,3991.31,5.39,2.29,0.11084220716360116,0.07647628267182963,Inf,0,0,20.66,0,10.870569133758545,0
48,3998.6,3991.31,5.39,2.29,0.11084220716360116,0.07647628267182963,Inf,0,0,20.66,0,11.995722770690918,0
49,3998.6,3991.31,5.39,2.29,0.11084220716360116,0.07647628267182963,Inf,0,0,20.66,0,10.318295860290528,0
